,Date,CPI,Inflation Rate
403,1980-08-01,83.2,12.890094979647216
404,1980-09-01,83.9,12.768817204301076
405,1980-10-01,84.7,12.632978723404253
406,1980-11-01,85.6,12.631578947368416
407,1980-12-01,86.4,12.353706111833551
408,1981-01-01,87.2,11.794871794871797
409,1981-02-01,88.0,11.392405063291132
410,1981-03-01,88.6,10.611735330836458
411,1981-04-01,89.1,10.135970333745359
412,1981-05-01,89.7,9.79192166462668
413,1981-06-01,90.5,9.696969696969692
414,1981-07-01,91.5,10.774818401937058
415,1981-08-01,92.2,10.817307692307686
416,1981-09-01,93.1,10.96543504171632
417,1981-10-01,93.4,10.271546635182993
418,1981-11-01,93.8,9.579439252336464
419,1981-12-01,94.1,8.912037037037024
420,1982-01-01,94.4,8.25688073394495
421,1982-02-01,94.7,7.613636363636367
422,1982-03-01,94.7,6.884875846501148
423,1982-04-01,95.0,6.621773288439958
424,1982-05-01,95.9,6.911928651059096
425,1982-06-01,97.0,7.182320441988943
426,1982-07-01,97.5,6.557377049180335
427,1982-08-01,97.7,5.965292841648595
428,1982-09-01,97.7,4.940923737916236
429,1982-10-01,98.1,5.032119914346889
430,1982-11-01,98.0,4.47761194029852
431,1982-12-01,97.7,3.825717321997879
432,1983-01-01,97.9,3.7076271186440746
433,1983-02-01,98.0,3.484688489968324
434,1983-03-01,98.1,3.5902851108764455
435,1983-04-01,98.8,4.0000000000000036
436,1983-05-01,99.2,3.44108446298228
437,1983-06-01,99.4,2.4742268041237248
438,1983-07-01,99.8,2.358974358974364
439,1983-08-01,100.1,2.456499488229258
440,1983-09-01,100.4,2.763561924257929
441,1983-10-01,100.8,2.752293577981657
442,1983-11-01,101.1,3.1632653061224536
443,1983-12-01,101.4,3.7871033776867957
444,1984-01-01,102.1,4.290091930541351
445,1984-02-01,102.6,4.693877551020398
446,1984-03-01,102.9,4.892966360856277
447,1984-04-01,103.3,4.5546558704453455
448,1984-05-01,103.5,4.3346774193548265
449,1984-06-01,103.7,4.325955734406439
450,1984-07-01,104.1,4.308617234468937
451,1984-08-01,104.4,4.295704295704317
452,1984-09-01,104.7,4.2828685258964105
453,1984-10-01,105.1,4.265873015873023
454,1984-11-01,105.3,4.154302670623156
455,1984-12-01,105.5,4.043392504930954
456,1985-01-01,105.7,3.52595494613126
457,1985-02-01,106.3,3.6062378167641462
458,1985-03-01,106.8,3.790087463556846
459,1985-04-01,107.0,3.581800580832528
460,1985-05-01,107.2,3.5748792270531515
461,1985-06-01,107.5,3.6644165863066513
462,1985-07-01,107.7,3.458213256484166
463,1985-08-01,107.9,3.3524904214559337
464,1985-09-01,108.1,3.2473734479465
465,1985-10-01,108.5,3.2350142721217834
466,1985-11-01,109.0,3.5137701804368593
467,1985-12-01,109.5,3.791469194312791
468,1986-01-01,109.9,3.9735099337748325
469,1986-02-01,109.7,3.19849482596426
470,1986-03-01,109.1,2.1535580524344455
471,1986-04-01,108.7,1.5887850467289688
472,1986-05-01,109.0,1.679104477611948
473,1986-06-01,109.4,1.7674418604651132
474,1986-07-01,109.5,1.671309192200554
475,1986-08-01,109.6,1.575532900834098
476,1986-09-01,110.0,1.757631822386685
477,1986-10-01,110.2,1.5668202764977046
478,1986-11-01,110.4,1.2844036697247763
479,1986-12-01,110.8,1.187214611872145
480,1987-01-01,111.4,1.364877161055511
481,1987-02-01,111.8,1.9143117593436676
482,1987-03-01,112.2,2.8414298808432603
483,1987-04-01,112.7,3.679852805887762
484,1987-05-01,113.0,3.669724770642202
485,1987-06-01,113.5,3.7477148080438782
486,1987-07-01,113.8,3.926940639269394
487,1987-08-01,114.3,4.2883211678832245
488,1987-09-01,114.7,4.2727272727272725
489,1987-10-01,115.0,4.355716878402904
490,1987-11-01,115.4,4.528985507246386
491,1987-12-01,115.6,4.332129963898912
492,1988-01-01,116.0,4.129263913824044
493,1988-02-01,116.2,3.9355992844364973
494,1988-03-01,116.5,3.832442067736186
495,1988-04-01,117.2,3.9929015084294583
496,1988-05-01,117.5,3.9823008849557473
497,1988-06-01,118.0,3.96475770925111
498,1988-07-01,118.5,4.130052724077338
